"Time" "cluster_summary.timeout" "cluster_summary.timebase"
1626681240000 2035 2035
1626681360000 2089.5 2089.5
1626681480000 1999.5 1999.5
1626681600000 2023 2023
1626681720000 2023.5 2023.5
1626681840000 2121.5 2121.5
1626681960000 1984.5 1984.5
1626682080000 2195 2195
1626682200000 2119 2119
1626682320000 2028 2028
1626682440000 2158 2158
1626682560000 2016.5 2016.5
1626682680000 2061 2061
1626682800000 2065 2065
1626682920000 2028.5 2028.5
1626683040000 2212.5 2212.5
1626683160000 2028 2028
1626683280000 2047.5 2047.5
1626683400000 5029.5 1997.5
1626683520000 2098 2098
1626683640000 2009.5 2009.5
1626683760000 2132 2132
1626683880000 2303 2303
1626684000000 2066 2066
1626684120000 2025 2025
1626684240000 2097 2097
1626684360000 2098.5 2098.5
1626684480000 2038 2038
1626684600000 2178 2178
1626684720000 5425 2046
1626684840000 2079.5 2079.5
1626684960000 2197.5 2197.5
1626685080000 2044.5 2044.5
1626685200000 2216 2216
1626685320000 1961 1961
1626685440000 2026 2026
1626685560000 1970 1970
1626685680000 2069.5 2069.5
1626685800000 2039.5 2039.5
1626685920000 2116 2116
1626686040000 2133 2133
1626686160000 2076.5 2076.5
1626686280000 2067 2067
1626686400000 4727 4727
1626686520000 2050.5 2050.5
1626686640000 2437 2437
1626686760000 2092 2092
1626686880000 2092 2092
1626687000000 2061 2061
1626687120000 6117 2317.5
1626687240000 2021 2021
1626687360000 2022.5 2022.5
1626687480000 2066.5 2066.5
1626687600000 2041.5 2041.5
1626687720000 9931.5 2103
1626687840000 12390 2440.5
1626687960000 5516.5 2099.5
1626688080000 2284.5 2284.5
1626688200000 2068.5 2068.5
1626688320000 6297.5 6297.5
1626688440000 2021 2021
1626688560000 12672.5 9095.5
1626688680000 9089.5 9089.5
1626688800000 2246 2246
1626688920000 14420 14420
1626689040000 15877.5 15877.5
1626689160000 3641.5 3641.5
1626689280000 30013.5 30013.5
1626689400000 2227 2227
1626689520000 4931.5 4931.5
1626689640000 2045.5 2045.5
1626689760000 2011 2011
1626689880000 2126.5 2126.5
1626690000000 2231 2231
1626690120000 2850.5 2850.5
1626690240000 2522.5 2522.5
1626690360000 2044 2044
1626690480000 3766 3766
1626690600000 2450 2450
1626690720000 2408.5 2408.5
1626690840000 2733 2733
1626690960000 2584.5 2584.5
1626691080000 2039.5 2039.5
1626691200000 2082 2082
1626691320000 2097 2097
1626691440000 2158 2158
1626691560000 2072 2072
1626691680000 2058.5 2058.5
1626691800000 1997.5 1997.5
1626691920000 2056.5 2056.5
1626692040000 2083 2083

